,alt,data-gtm-event,data-gtm-event-action,data-gtm-event-category,href,src,subtitle,title,id,Year,century
1803,A work made of oil on wood.,Configuration,Collection Landing,collection-nav,https://www.artic.edu/artworks/53013/configuration?page=38,"https://www.artic.edu/iiif/2/f89e2eb2-743b-1649-d487-94c2fb5b55bd/full/600,/0/default.jpg",Hans Arp,"Configuration, 1952",1803,1952,20
1804,A work made of oil on canvas.,The White Horse,Collection Landing,collection-nav,https://www.artic.edu/artworks/118576/the-white-horse?page=38,"https://www.artic.edu/iiif/2/2d4c473c-af19-ed22-6008-8f33e613cabe/full/600,/0/default.jpg",Herman Menzel,"The White Horse, 1929",1804,1929,20
1805,A work made of etching on paper.,Christ Before Pilate: Large Plate,Collection Landing,collection-nav,https://www.artic.edu/artworks/49009/christ-before-pilate-large-plate?page=38,"https://www.artic.edu/iiif/2/b2c72144-dc6a-bd4c-16bd-adf37ce5786d/full/600,/0/default.jpg",Rembrandt Harmenszoon van Rijn,"Christ Before Pilate: Large Plate, 1635",1805,1635,17
1806,"A work made of graphite on yellow wove graph paper, squared in blue printing ink.",Study for End of the World No.2,Collection Landing,collection-nav,https://www.artic.edu/artworks/50539/study-for-end-of-the-world-no-2?page=38,"https://www.artic.edu/iiif/2/b18c5b97-48fc-c38c-15f8-5ae3e103c12d/full/600,/0/default.jpg",Jean Tinguely,"Study for End of the World No.2, 1962",1806,1962,20
1807,A work made of tempera on panel.,The Head of Saint John the Baptist Brought before Herod,Collection Landing,collection-nav,https://www.artic.edu/artworks/16171/the-head-of-saint-john-the-baptist-brought-before-herod?page=38,"https://www.artic.edu/iiif/2/c546eea7-1b92-c6f2-9813-2edeb16ebc05/full/600,/0/default.jpg",Giovanni di Paolo,"The Head of Saint John the Baptist Brought before Herod, 1455/60",1807,1455,15
1808,A work made of appliquéd quilt; dyed and printed cotton plain weave fabrics; cotton thread and metallic braid embroidery; ink signatures.,The Circuit Rider's Quilt,Collection Landing,collection-nav,https://www.artic.edu/artworks/76021/the-circuit-rider-s-quilt?page=38,"https://www.artic.edu/iiif/2/13602adf-5b72-96b7-d832-d4397cff27e4/full/600,/0/default.jpg",,"The Circuit Rider's Quilt, c. 1862",1808,1862,19
1809,A work made of oil on canvas.,Study for the Hall of Medical Sciences Mural at the 1939 World's Fair in New York,Collection Landing,collection-nav,https://www.artic.edu/artworks/93779/study-for-the-hall-of-medical-sciences-mural-at-the-1939-world-s-fair-in-new-york?page=38,"https://www.artic.edu/iiif/2/d8353931-2182-f4db-1eb2-3b52b1645218/full/600,/0/default.jpg",Ilya Bolotowsky,"Study for the Hall of Medical Sciences Mural at the 1939 World's Fair in New York, 1938/39",1809,1939,20
1810,A work made of stucco and polychrome.,The Nativity,Collection Landing,collection-nav,https://www.artic.edu/artworks/16143/the-nativity?page=38,"https://www.artic.edu/iiif/2/e62e391a-cd52-7ce9-f2cc-7a3dcb88a7a8/full/600,/0/default.jpg",School of Donato di Niccolò Donatello,"The Nativity, c. 1465",1810,1465,15
1811,A work made of bronze.,Girl with Arm over Her Eyes,Collection Landing,collection-nav,https://www.artic.edu/artworks/19313/girl-with-arm-over-her-eyes?page=38,"https://www.artic.edu/iiif/2/e2064f18-42ee-1e59-b06d-6012c7f70a88/full/600,/0/default.jpg",Aristide Joseph-Bonaventure Maillol,"Girl with Arm over Her Eyes, 1900",1811,1900,20
1812,A work made of ceramic and pigment.,Water-Lily Vessel,Collection Landing,collection-nav,https://www.artic.edu/artworks/126858/water-lily-vessel?page=38,"https://www.artic.edu/iiif/2/aed7a60f-4804-b888-e511-1f63503a294b/full/600,/0/default.jpg",Ah Maxam,"Water-Lily Vessel, A.D. 750/800",1812,0,0
1813,"A work made of pen and brush and black ink, watercolor and gouache, with wiping and scraping, and touches of pastel, on cream wove paper, laid down.",Woman and Birds in Front of the Sun,Collection Landing,collection-nav,https://www.artic.edu/artworks/63630/woman-and-birds-in-front-of-the-sun?page=38,"https://www.artic.edu/iiif/2/a5cdbf3b-b518-602c-5b6d-512da20ee805/full/600,/0/default.jpg",Joan Miró,"Woman and Birds in Front of the Sun, 1942",1813,1942,20
1814,A work made of tempera on panel.,The Continence of Scipio,Collection Landing,collection-nav,https://www.artic.edu/artworks/16246/the-continence-of-scipio?page=38,"https://www.artic.edu/iiif/2/50eedb09-4e87-3ad8-85ad-3b2d16ddd30e/full/600,/0/default.jpg",Workshop of Apollonio di Giovanni,"The Continence of Scipio, c. 1455",1814,1455,15
1815,A work made of oil on canvas.,Adam and Eve in Paradise,Collection Landing,collection-nav,https://www.artic.edu/artworks/101077/adam-and-eve-in-paradise?page=38,"https://www.artic.edu/iiif/2/3850f048-6d79-515f-a008-292b3bcb54d8/full/600,/0/default.jpg",Francesco Solimena,"Adam and Eve in Paradise, c. 1700",1815,1700,18
1816,A work made of terracotta with traces of polychromy.,Phalaris and the Bull of Perillus,Collection Landing,collection-nav,https://www.artic.edu/artworks/29431/phalaris-and-the-bull-of-perillus?page=38,"https://www.artic.edu/iiif/2/f1bc5b4b-25f0-d114-557a-a9dd4e344870/full/600,/0/default.jpg",Giovanni Battista Caccini,"Phalaris and the Bull of Perillus, 1590/1600",1816,1590,16
1817,"A work made of platinum-palladium print, edition 3/12.","Leggy Nude, New York",Collection Landing,collection-nav,https://www.artic.edu/artworks/144892/leggy-nude-new-york?page=38,"https://www.artic.edu/iiif/2/31bf5f9f-982f-5ad9-bbaf-ddb1de2f63b3/full/600,/0/default.jpg",Irving Penn,"Leggy Nude, New York, 1993, printed March/May 1994",1817,1993,20
1818,A work made of oil on canvas.,The White Place in Sun,Collection Landing,collection-nav,https://www.artic.edu/artworks/158752/the-white-place-in-sun?page=38,"https://www.artic.edu/iiif/2/fcac861a-0439-54c7-4498-0bb5bb1cda1a/full/600,/0/default.jpg",Georgia O'Keeffe,"The White Place in Sun, 1943",1818,1943,20
1819,A work made of oil on panel.,Nubian Woman,Collection Landing,collection-nav,https://www.artic.edu/artworks/111174/nubian-woman?page=39,"https://www.artic.edu/iiif/2/b8933630-d5ce-d149-46f7-2d18c498485f/full/600,/0/default.jpg",Jules Robert Auguste,"Nubian Woman, 1825/30",1819,1825,19
1820,A work made of oil on canvas.,Flowers (Blumen),Collection Landing,collection-nav,https://www.artic.edu/artworks/147001/flowers-blumen?page=39,"https://www.artic.edu/iiif/2/5f1946b3-1921-9f3c-1cec-c74f3a06df0b/full/600,/0/default.jpg",Gerhard Richter,"Flowers (Blumen), 1993",1820,1993,20
1821,A work made of oil on canvas.,A Mounted Officer,Collection Landing,collection-nav,https://www.artic.edu/artworks/885/a-mounted-officer?page=39,"https://www.artic.edu/iiif/2/2f69601a-99fc-8af1-2e4c-ffe229f50284/full/600,/0/default.jpg",Jean Baptiste Édouard Detaille,"A Mounted Officer, 1877",1821,1877,19
1822,"A work made of charcoal on off-white laid paper, tipped onto cream wove paper.",Bust of Angelique Mongez,Collection Landing,collection-nav,https://www.artic.edu/artworks/113576/bust-of-angelique-mongez?page=39,"https://www.artic.edu/iiif/2/1015b52b-ee74-e0a1-6a85-a965b26015b4/full/600,/0/default.jpg",Jacques Louis David,"Bust of Angelique Mongez, 1806",1822,1806,19
1823,"A work made of platinum-palladium print, edition 32/45.","Picasso at La Californie, Cannes, France",Collection Landing,collection-nav,https://www.artic.edu/artworks/94524/picasso-at-la-californie-cannes-france?page=39,"https://www.artic.edu/iiif/2/4c107b3a-c1b1-d38c-4e5d-5550d4a7d830/full/600,/0/default.jpg",Irving Penn,"Picasso at La Californie, Cannes, France, 1957, printed 1973",1823,1957,20
1824,"A work made of wood, iron, and boarskin.",Standing Pavise,Collection Landing,collection-nav,https://www.artic.edu/artworks/112136/standing-pavise?page=39,"https://www.artic.edu/iiif/2/45fe1821-91ad-24d2-1b56-c3e2528f2762/full/600,/0/default.jpg",,"Standing Pavise, About 1480/90",1824,1480,15
1825,"A work made of gelatin silver print, printed later.",World's Highest Standard of Living,Collection Landing,collection-nav,https://www.artic.edu/artworks/121186/world-s-highest-standard-of-living?page=39,"https://www.artic.edu/iiif/2/a7dda125-a92b-7ff0-260a-ec9f7f28b638/full/600,/0/default.jpg",Margaret Bourke-White,"World's Highest Standard of Living, 1937",1825,1937,20
